name,iso_country,municipality,iata_code
Emmanuel Airport,US,Elmer,
Kingston Ranch Airport,US,Sandy Valley,
Klaverack Airport,US,Hudson,
Teufel Heliport,US,Forest Grove,
Bossow Airport,US,Garrettsville,
Stillwater Medical Center Heliport,US,Stillwater,
Collins Landing Strip,US,Mitchell,
S & C Distribution Center Heliport,US,Philadelphia,
Strawbridge & Clothier Exton Heliport,US,Exton,
Emergency Helipad,US,Easley,
Cheyenne River Health Center Heliport,US,Eagle Butte,
Capitol National Bank Building Heliport,US,Austin,
Veterans Affairs Medical Center Heliport,US,Houston,
Hensley Airpark,US,Chuckey,
Hummingbird Heliport,US,Hutto,
Pocock Airport,US,China Spring,
Navajo Mountain Airport,US,Navajo Mountain Trdng Post,
Saguache Municipal Airport,US,Saguache,
Russell County Medical Center Heliport,US,Lebanon,
Manquin Flight Park Ultralightport,US,Manquin,
Lightning Bolt Field Airport,US,Cabot,
Field of Dreams Airport,US,Hinckley,
Ox Meadows Airport,US,Spokane,
Dutch Gap Airstrip,US,Bristol,
Stillwater Creek Airport,US,Royal City,
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,Morgantown,
Schmidts Heliport,US,Mansfield,
Wasilla Creek Airpark,US,Palmer,
Allen Stagefield Army Heliport,US,Fort Rucker/Wicksburg,
Ozark Skies Airpark,US,Kingston,
Yuma Regional Medical Center Heliport,US,Yuma,
Van Buren Seaplane Base,US,Van Buren,
Lost Hills Sheriff's Station Heliport,US,Calabasas,
Pope Valley Airport,US,Pope Valley,
Rancho De Aereo Airport,US,Mead,
O And G Heliport,US,Torrington,
Melanie's Airport,US,Florala,
Aventura Heliport,US,North Miami Beach,
Charlton Strip,US,La Belle,
Raju Airport,US,Richland,
Spotts Field,US,Nora Springs,
Running Creek Ranch Airport,US,Grangeville,
Reichhart Airport,US,New Haven,
Classic Landings Airport,US,Bonfield,
Cooper Airport,US,Belleville,
Hardy Airport,US,Mount Auburn,
Darbro Field,US,Elk City,
Cartersville Airport,US,Berea,
Greg's Flying Service Airport,US,Baskin,
Midwest Heliport,US,Willowbrook,
Grass Roots Airport,US,Alexandria,
Pauls Valley General Hospital Heliport,US,Pauls Valley,
Bentley Heliport,US,Ipswich,
Breezecroft Airport,US,Chestertown,
Drisko Airport,US,Jonesboro,
Northern Pines Medical Center Heliport,US,Aurora,
Portageville Community Heliport,US,Portageville,
Va Medical Center Jackson Heliport,US,Jackson,
Jones Landing,US,Belgrade,
Brunswick Community Hospital Heliport,US,Supply,
Mc Kay Airport,US,Spalding,
Stumpfield Heliport,US,Kensington,
Paulus Hook Pier Heliport,US,Jersey City,
Baker Ranches Airport,US,Baker,
Oswego County At Pulaski Heliport,US,Pulaski,
Dorlon Airpark,US,Columbia Station,
Hawk Haven Airport,US,Crescent,
Peacock Ranch Airport,US,Enterprise,
PECO Mob. Heliport,US,Philadelphia,
State Police Area Iii Heliport,US,Harrisburg,
Mills Brothers Airport,US,Burnt Cabins,
Vernonia Airfield,US,Vernonia,
Brandes Air Field,US,Sealy,
Hilde-Griff Field,US,Georgetown,
Thurmond Glenn Field,US,Covington,
Dew Drop Airport,US,Justin,
Circle 'A' Ranch Airport,US,Blum,
